Individuals,Species,Temperature,Development_Time
16,Teleogryllus lemur,28,59
17,Teleogryllus lemur,28,59
18,Teleogryllus lemur,28,58
19,Teleogryllus lemur,28,58
20,Teleogryllus lemur,28,58
21,Teleogryllus lemur,28,59
22,Teleogryllus lemur,28,58
23,Teleogryllus lemur,28,59
24,Teleogryllus lemur,28,58
25,Teleogryllus lemur,28,61
26,Teleogryllus lemur,28,58
27,Teleogryllus lemur,28,58
29,Teleogryllus lemur,28,59
30,Teleogryllus lemur,28,59
31,Teleogryllus lemur,28,58
32,Teleogryllus lemur,28,59
33,Teleogryllus lemur,28,59
34,Teleogryllus lemur,28,58
35,Teleogryllus lemur,28,58
36,Teleogryllus lemur,28,59
37,Teleogryllus lemur,28,59
38,Teleogryllus lemur,28,59
39,Teleogryllus lemur,28,59
40,Teleogryllus lemur,28,61
43,Teleogryllus lemur,28,58
44,Teleogryllus lemur,28,58
45,Teleogryllus lemur,28,59
46,Teleogryllus lemur,28,58
47,Teleogryllus lemur,28,58
48,Teleogryllus lemur,28,61
49,Teleogryllus lemur,28,58
50,Teleogryllus lemur,28,59
51,Teleogryllus lemur,28,58
52,Teleogryllus lemur,28,61
53,Teleogryllus lemur,28,58
54,Teleogryllus lemur,28,59
56,Teleogryllus lemur,28,59
57,Teleogryllus lemur,28,58
58,Teleogryllus lemur,28,58
59,Teleogryllus lemur,28,58
60,Teleogryllus lemur,28,59
61,Teleogryllus lemur,28,58
62,Teleogryllus lemur,28,58
64,Teleogryllus lemur,28,58
65,Teleogryllus lemur,28,59
66,Teleogryllus lemur,28,59
67,Teleogryllus lemur,28,58
68,Teleogryllus lemur,28,59
69,Teleogryllus lemur,28,58
70,Teleogryllus lemur,28,59
72,Teleogryllus lemur,28,58
73,Teleogryllus lemur,28,59
74,Teleogryllus lemur,28,59
75,Teleogryllus lemur,28,58
76,Teleogryllus lemur,28,59
77,Teleogryllus lemur,28,59
78,Teleogryllus lemur,28,58
79,Teleogryllus lemur,28,59
80,Teleogryllus lemur,28,61
81,Teleogryllus lemur,28,59
82,Teleogryllus lemur,28,58
83,Teleogryllus lemur,28,58
84,Teleogryllus lemur,28,59
85,Teleogryllus lemur,28,58
87,Teleogryllus lemur,28,59
88,Teleogryllus lemur,28,58
89,Teleogryllus lemur,28,58
90,Teleogryllus lemur,28,58
91,Teleogryllus lemur,28,59
92,Teleogryllus lemur,28,58
93,Teleogryllus lemur,28,58
94,Teleogryllus lemur,28,61
95,Teleogryllus lemur,28,59
97,Teleogryllus lemur,28,59
99,Teleogryllus lemur,28,61
100,Teleogryllus lemur,28,61
101,Teleogryllus lemur,28,59
102,Teleogryllus lemur,28,58
103,Teleogryllus lemur,28,59
104,Teleogryllus lemur,28,58
105,Teleogryllus lemur,28,58
107,Teleogryllus lemur,28,59
108,Teleogryllus lemur,28,59
109,Teleogryllus lemur,28,58
110,Teleogryllus lemur,28,59
111,Teleogryllus lemur,28,59
112,Teleogryllus lemur,28,58
114,Teleogryllus lemur,28,61
115,Teleogryllus lemur,28,59
116,Teleogryllus lemur,28,58
118,Teleogryllus lemur,28,59
119,Teleogryllus lemur,28,59
120,Teleogryllus lemur,28,58
121,Teleogryllus lemur,28,59
122,Teleogryllus lemur,28,58
124,Teleogryllus lemur,28,59
125,Teleogryllus lemur,28,59
126,Teleogryllus lemur,28,58
127,Teleogryllus lemur,28,61
128,Teleogryllus lemur,28,58
129,Teleogryllus lemur,28,58
131,Teleogryllus lemur,28,61
132,Teleogryllus lemur,28,59
133,Teleogryllus lemur,28,58
134,Teleogryllus lemur,28,59
137,Teleogryllus lemur,28,59
138,Teleogryllus lemur,28,59
139,Teleogryllus lemur,28,58
140,Teleogryllus lemur,28,58
141,Teleogryllus lemur,28,58
142,Teleogryllus lemur,28,59
143,Teleogryllus lemur,28,58
144,Teleogryllus lemur,28,58
145,Teleogryllus lemur,28,58
146,Teleogryllus lemur,28,58
148,Teleogryllus lemur,28,58
149,Teleogryllus lemur,28,58
150,Teleogryllus lemur,28,59
1,Teleogryllus lemur,30,51
2,Teleogryllus lemur,30,51
4,Teleogryllus lemur,30,51
6,Teleogryllus lemur,30,51
7,Teleogryllus lemur,30,55
9,Teleogryllus lemur,30,51
10,Teleogryllus lemur,30,53
11,Teleogryllus lemur,30,51
12,Teleogryllus lemur,30,55
13,Teleogryllus lemur,30,51
14,Teleogryllus lemur,30,51
16,Teleogryllus lemur,30,53
17,Teleogryllus lemur,30,51
19,Teleogryllus lemur,30,55
21,Teleogryllus lemur,30,53
23,Teleogryllus lemur,30,53
25,Teleogryllus lemur,30,51
26,Teleogryllus lemur,30,51
28,Teleogryllus lemur,30,55
29,Teleogryllus lemur,30,51
31,Teleogryllus lemur,30,51
32,Teleogryllus lemur,30,51
33,Teleogryllus lemur,30,55
35,Teleogryllus lemur,30,51
37,Teleogryllus lemur,30,53
38,Teleogryllus lemur,30,55
39,Teleogryllus lemur,30,53
40,Teleogryllus lemur,30,55
44,Teleogryllus lemur,30,55
45,Teleogryllus lemur,30,53
46,Teleogryllus lemur,30,53
48,Teleogryllus lemur,30,51
50,Teleogryllus lemur,30,51
51,Teleogryllus lemur,30,55
52,Teleogryllus lemur,30,51
53,Teleogryllus lemur,30,53
54,Teleogryllus lemur,30,51
55,Teleogryllus lemur,30,55
56,Teleogryllus lemur,30,53
57,Teleogryllus lemur,30,51
59,Teleogryllus lemur,30,53
60,Teleogryllus lemur,30,51
61,Teleogryllus lemur,30,51
62,Teleogryllus lemur,30,51
63,Teleogryllus lemur,30,55
64,Teleogryllus lemur,30,53
66,Teleogryllus lemur,30,53
67,Teleogryllus lemur,30,51
69,Teleogryllus lemur,30,51
70,Teleogryllus lemur,30,51
72,Teleogryllus lemur,30,55
73,Teleogryllus lemur,30,51
75,Teleogryllus lemur,30,53
76,Teleogryllus lemur,30,51
77,Teleogryllus lemur,30,51
78,Teleogryllus lemur,30,55
79,Teleogryllus lemur,30,51
80,Teleogryllus lemur,30,51
81,Teleogryllus lemur,30,51
82,Teleogryllus lemur,30,51
83,Teleogryllus lemur,30,51
85,Teleogryllus lemur,30,55
87,Teleogryllus lemur,30,51
88,Teleogryllus lemur,30,53
90,Teleogryllus lemur,30,51
91,Teleogryllus lemur,30,51
93,Teleogryllus lemur,30,51
94,Teleogryllus lemur,30,51
95,Teleogryllus lemur,30,51
96,Teleogryllus lemur,30,55
98,Teleogryllus lemur,30,51
99,Teleogryllus lemur,30,53
101,Teleogryllus lemur,30,53
102,Teleogryllus lemur,30,55
103,Teleogryllus lemur,30,51
105,Teleogryllus lemur,30,53
106,Teleogryllus lemur,30,53
107,Teleogryllus lemur,30,51
108,Teleogryllus lemur,30,55
112,Teleogryllus lemur,30,51
113,Teleogryllus lemur,30,51
115,Teleogryllus lemur,30,51
116,Teleogryllus lemur,30,51
117,Teleogryllus lemur,30,55
118,Teleogryllus lemur,30,51
119,Teleogryllus lemur,30,51
120,Teleogryllus lemur,30,51
121,Teleogryllus lemur,30,51
124,Teleogryllus lemur,30,51
125,Teleogryllus lemur,30,55
126,Teleogryllus lemur,30,51
127,Teleogryllus lemur,30,51
129,Teleogryllus lemur,30,53
132,Teleogryllus lemur,30,55
133,Teleogryllus lemur,30,51
134,Teleogryllus lemur,30,55
135,Teleogryllus lemur,30,51
136,Teleogryllus lemur,30,55
137,Teleogryllus lemur,30,51
138,Teleogryllus lemur,30,51
140,Teleogryllus lemur,30,51
141,Teleogryllus lemur,30,51
143,Teleogryllus lemur,30,51
144,Teleogryllus lemur,30,53
145,Teleogryllus lemur,30,51
147,Teleogryllus lemur,30,51
148,Teleogryllus lemur,30,55
149,Teleogryllus lemur,30,51
